7125,0
7125,0
7125,0
7125,0
7125,0
7125,0
7125,2
7125,2
7125,2
7125,2
7125,2
7125,2
7125,2
7125,2
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7125,7
7079,7
3476,0
3504,3
3511,5
3540,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,5
3546,8
3546,8
3546,8
3546,8
3546,8
3547,5
3547,8
3548,0
3548,0
3548,0
3548,0
3548,3
3548,3
3548,3
3548,3
3548,3
3548,3
3548,3
3548,5
3548,5
3548,8
3542,6
3444,6
2995,5
2653,0
2161,7
1257,1
328,9
6957,3
6973,8
6980,6
6981,1
6981,8
6983,8
6986,8
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6988,1
6989,6
6991,3
6992,3
6992,8
6993,1
6994,3
6997,8
7000,1
7003,1
